ABC,WSYR,New York,Syracuse,87,LifeStyle Segment,"Satellite, Studio,",$500 
CBS,KLAS,Nevada,Las Vegas,40,LifeStyle Segment,"Satellite, Studio,","$1,500 "
NBC,WFLA,FL,Tampa,13,LifeStyle Segment,"Satellite, Studio,","$1,800 "
NBC,KTAL,LOUISIANA,SHREVEPORT,86,LifeStyle Segment,"Satellite, Studio,",$500 
CBS,KCLO,South Dakota,Rapid City,100,LifeStyle Segment,"Satellite, Studio,",$400 
Fox,KTXL,California,Sacramento,20,LifeStyle Segment,"Satellite, Studio,","$1,000 "
NBC,KTSM,Texas,El Paso (Las Cruces),93,LifeStyle Segment,"Satellite, Studio,","$1,000 "
Fox,KSWB,California,San Diego,28,The LOCAList SD,"Satellite, Studio,","$1,250 "
NBC,WTWO,Indiana,Terre Haute,153,LifeStyle Segment,"Satellite, Studio,",$500 
ABC,WRIC,Virginia,Richmond,56,LifeStyle Segment,"Satellite, Studio,","$2,500 "
CW,WSFL-TV,Florida,South Florida,100,LifeStyle Segment,"Satellite, Studio,","$1,000 "
NBC,WOOD,MICHIGAN,GRAND RAPIDS,41,LifeStyle Segment,"Satellite, Studio,","$2,000 "
Fox,WXIN,Indiana,Indianapolis,25,LifeStyle Segment,"Satellite, Studio,","$1,000 "
ABC,WFTS,Florida,Tampa,13,Tampa Morning Blend,"Satellite, Studio,",$900 
NBC,KSEE,CA,Fresno-Visalia,55,LifeStyle Segment,"Satellite, Studio,",$400 
NBC,KMIR-TV,California,Palm Springs,100,LifeStyle Segment,"Satellite, Studio,",$600 
CBS,KVEO,Texas,Harlingen,89,LifeStyle Segment,"Satellite, Studio,",$500 
CBS,KTAB,TEXAS,Abilene/Sweetwater,165,LifeStyle Segment,"Satellite, Studio,",$500 
NBC,KAMR,Texas,Amarillo,131,LifeStyle Segment,"Satellite, Studio,",$500 
NBC,KETK,TEXAS,TYLER/LONGVIEW,110,LifeStyle Segment,"Satellite, Studio,",$500 
CBS,WFRV,Wisconsin,Green Bay-Appleton,68,LifeStyle Segment,"Satellite, Studio,","$1,000 "
CBS,WPRI,Rhode Island,Providence,53,LifeStyle Segment,"Satellite, Studio,","$3,000 "
CW,KRCW,Oregon,Portland,21,LifeStyle Segment,"Satellite, Studio,","$1,500 "
NBC,WAVY,Virginia,Norfolk,45,LifeStyle Segment,"Satellite, Studio,","$1,250 "
NBC,KSNW,KANSAS,WICHITA-HUTCHINSON,70,LifeStyle Segment,"Satellite, Studio,",$500 
CW,KWGN,COLORADO,DENVER,16,LifeStyle Segment,"Satellite, Studio,","$2,000 "
NBC,WBRE,Pennsylvania,Wilkes Barre,58,LifeStyle Segment,"Satellite, Studio,",$500 
Fox,KXRM,Colorado,Colorado Springs,82,LifeStyle Segment,"Satellite, Studio,","$1,000 "
CBS,KLST,Texas,San Angelo,195,LifeStyle Segment,"Satellite, Studio,",$400 
INDIE,WGN,Illinois,Chicago,3,LifeStyle Segment,"Satellite, Studio,","$8,000 "
CBS,WJHL,Tennessee,Tri-Cities,100,LifeStyle Segment,"Satellite, Studio,","$1,250 "
NBC,WSAV,Georgia,Savannah,91,The Bridge,"Satellite, Studio,","$1,000 "
NBC,WCBD,South Carolina,Charleston,89,LifeStyle Segment,"Satellite, Studio,","$1,500 "
CBS,KOLR,MISSOURI,SPRINGFIELD,74,LifeStyle Segment,"Satellite, Studio,",$750 
NBC,KNWA,ARKANSAS,Fay/Ft.Smith,95,LifeStyle Segment,"Satellite, Studio,",$500 
NBC,WDTN,Ohio,Dayton,65,LifeStyle Segment,"Satellite, Studio,","$1,000 "
Fox,KHMT,Montana,Billings,100,LifeStyle Segment,"Satellite, Studio,",$600 
CBS,WSPA,South Carolina,Greenville-Spartanburg,38,LifeStyle Segment,"Satellite, Studio,","$1,500 "
INDIE,KRON,CALIFORNIA,SF/OAKLAND/SANJOSE,8,LifeStyle Segment,"Satellite, Studio,","$1,250 "
Fox,KTMJ,KANSAS,TOPEKA,135,LifeStyle Segment,"Satellite, Studio,",$400 
